"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2022","51.770","51.300","52.740","50.670","544.24K","0.94%"
"07/14/2022","51.290","49.520","51.640","47.990","522.08K","3.45%"
"07/13/2022","49.580","47.370","49.660","46.560","601.88K","4.73%"
"07/12/2022","47.340","48.590","49.340","47.300","466.30K","-2.79%"
"07/11/2022","48.700","52.160","52.200","48.330","458.06K","-6.54%"
"07/10/2022","52.110","54.080","55.040","50.740","793.62K","-3.62%"
"07/09/2022","54.070","51.340","54.680","51.340","370.00K","5.46%"
"07/08/2022","51.270","52.230","53.980","50.810","539.00K","-1.57%"
"07/07/2022","52.090","50.340","52.600","49.800","477.98K","3.46%"
"07/06/2022","50.350","49.700","51.050","48.990","369.95K","1.19%"
"07/05/2022","49.760","52.240","52.410","48.020","567.11K","-4.73%"
"07/04/2022","52.230","50.960","52.380","49.710","428.79K","2.61%"
"07/03/2022","50.900","50.590","52.030","49.110","319.38K","0.69%"
"07/02/2022","50.550","51.190","51.620","49.870","395.50K","-1.17%"
"07/01/2022","51.150","53.870","56.150","50.120","606.26K","-4.98%"
"06/30/2022","53.830","53.710","53.970","50.220","505.02K","0.37%"
"06/29/2022","53.630","52.690","54.370","51.410","451.85K","1.76%"
"06/28/2022","52.700","55.880","56.900","52.590","428.60K","-5.66%"
"06/27/2022","55.860","56.590","58.600","54.940","397.07K","-1.36%"
"06/26/2022","56.630","58.900","60.450","56.630","518.61K","-3.80%"
"06/25/2022","58.870","55.880","59.660","54.660","618.25K","5.45%"
"06/24/2022","55.830","55.750","57.150","54.520","730.59K","0.20%"
"06/23/2022","55.720","52.100","56.600","51.960","994.91K","6.97%"
"06/22/2022","52.090","53.470","53.470","50.490","928.09K","-2.69%"
"06/21/2022","53.530","52.760","55.650","51.920","1.38M","1.40%"
"06/20/2022","52.790","54.290","54.620","51.360","1.98M","-2.76%"
"06/19/2022","54.290","47.170","56.050","44.990","2.45M","15.05%"
"06/18/2022","47.190","47.610","48.340","41.640","1.91M","-0.94%"
"06/17/2022","47.640","44.830","48.380","44.460","1.21M","6.41%"
"06/16/2022","44.770","50.670","51.180","44.060","1.64M","-11.61%"
"06/15/2022","50.650","46.140","50.890","41.740","2.01M","9.51%"
